Customer,Amount
John Turner,50
John Turner,80
John Turner,50
Barbara Jones,200
William Nelson,150
William Nelson,300
Linda Mitchell,300
Linda Mitchell,120
Carol Baker,120
Carol Baker,80
Carol Baker,80
Carol Baker,250
Anthony Wright,300
Anthony Wright,50
Anthony Wright,80
Anthony Wright,50
Steven Morris,80
Steven Morris,120
Steven Morris,120
Jennifer Mitchell,100
Jennifer Mitchell,250
Jennifer Mitchell,100
Jennifer Mitchell,150
Kenneth Lee,300
Ruth Perez,50
Kevin Mitchell,80
Angela Reed,100
Angela Reed,250
Lisa Baker,250
Lisa Baker,50
Mary Allen,250
Susan Green,250
Susan Green,500
Susan Green,300
Charles Moore,120
Charles Moore,50
Charles Moore,500
Michael Rogers,50
Michael Rogers,50
Michael Rogers,300
Betty Carter,50
Betty Carter,500
David Thomas,80
George Lee,80
George Lee,120
George Lee,50
George Lee,80
Paul Edwards,500
Paul Edwards,200
Paul Edwards,150
Paul Edwards,120
Paul Edwards,200
Elizabeth Thompson,100
Elizabeth Thompson,150
Elizabeth Thompson,300
Elizabeth Thompson,200
Angela Jones,300
Donna Roberts,80
Sandra Jackson,150
Sandra Jackson,100
Sandra Jackson,200
Sandra Jackson,80
Sandra Jackson,120
Mark Harris,300
Mark Harris,500
Ronald Clark,500
Ronald Clark,50
Ronald Clark,500
Ronald Clark,150
Ronald Clark,80
Cynthia Wilson,80
Cynthia Wilson,80
Cynthia Wilson,500
Charles White,120
Charles White,200
Charles White,120
George Parker,500
George Parker,300
George Parker,150
Deborah Brown,250
Michelle White,50
Matthew Cook,150
Matthew Cook,100
Jason Scott,250
Jason Scott,500
Jason Scott,50
Jason Scott,80
Jason Scott,80
Cynthia Stewart,500
Cynthia Stewart,50
Michelle Hall,500
Michelle Hall,100
Michelle Hall,250
Michelle Hall,100
Michelle Hall,50
Karen Hall,200
Linda Collins,80
Linda Collins,200
Gary Perez,100
Gary Perez,120
Gary Perez,100
Gary Perez,100
Cynthia King,100
Jason Robinson,120
Jason Robinson,150
Jason Robinson,100
Jason Robinson,80
Donald Williams,120
Donald Williams,120
Donald Williams,300
Donald Williams,200
Karen Martin,50
Karen Martin,120
Steven Robinson,80
Steven Robinson,150
Steven Robinson,200
Kevin Nelson,500
Kevin Nelson,200
Kevin Nelson,50
Kevin Nelson,80
Cynthia Thompson,150
Cynthia Thompson,50
Richard Phillips,200
Richard Phillips,200
Richard Phillips,250
Richard Phillips,500
Joseph Allen,120
Joseph Allen,150
Joseph Allen,50
Joseph Allen,250
Joseph Allen,50
Margaret Mitchell,200
Margaret Mitchell,250
William Edwards,200
William Edwards,80
William Edwards,150
Betty Clark,200
Betty Clark,250
Betty Clark,150
Betty Clark,500
Thomas Moore,250
Thomas Moore,100
Thomas Moore,150
Thomas Moore,250
Ashley Smith,150
Ashley Smith,120
Ashley Smith,250
Carol Turner,200
Carol Turner,300
Carol Turner,300
Carol Turner,300
Carol Turner,120
Betty Baker,80
Betty Baker,150
Betty Edwards,200
Betty Edwards,80
Betty Edwards,120
Betty Edwards,150
Betty Edwards,120
Ruth Moore,50
Ruth Moore,50
Elizabeth Baker,80
Elizabeth Baker,300
Elizabeth Baker,250
Elizabeth Baker,120
Elizabeth Baker,250
Lisa Young,100
Lisa Young,50
Deborah Reed,250
Barbara Thomas,300
Barbara Thomas,50
Barbara Thomas,500
Barbara Thomas,120
Barbara Thomas,80
Kenneth Wilson,500
Kenneth Wilson,500
Kenneth Wilson,200
Kenneth Wilson,300
Donna Morris,250
Donna Morris,500
Donna Morris,300
Donna Morris,100
Donna Morris,300
Joshua Thompson,150
Joshua Thompson,500
Lisa Parker,150
Lisa Parker,300
William Sanchez,120
William Sanchez,150
William Sanchez,200
Daniel Mitchell,100
Charles Martin,100
Charles Martin,120
Charles Martin,80
Charles Martin,250
Paul Robinson,300
Paul Robinson,250
Paul Robinson,50
Paul Robinson,120
Paul Robinson,250
Donald Cook,50
Donald Cook,250
Donald Cook,300
Donald Cook,50
Donald Cook,200
Karen Reed,250
Karen Reed,500
Karen Reed,500
Karen Reed,120
Lisa Martin,250
Lisa Martin,300
Lisa Martin,50
Donald Robinson,100
Donald Robinson,300
Donald Robinson,100
Donald Robinson,500
John Young,50
John Young,80
John Young,250
John Young,100
John Young,300
Patricia Brown,250
Patricia Brown,200
Patricia Brown,120
Kenneth Lewis,250
Kenneth Lewis,150
Kenneth Lewis,250
Susan Garcia,50
Susan Garcia,500
Susan Garcia,50
Susan Garcia,200
Barbara Evans,50
Jeffrey Johnson,120
Jeffrey Johnson,50
Donna Anderson,100
Donna Anderson,300
Brian Davis,120
Brian Davis,300
Brian Davis,150
Brian Davis,200
Brian Davis,100
Emily Phillips,100
Karen Miller,50
Karen Miller,150
Karen Miller,250
Karen Miller,250
Karen Miller,120
William Turner,80
William Turner,150
Laura Collins,80
Laura Collins,50
Laura Collins,200
Laura Collins,500
Laura Collins,250
Brian Hall,500
Kevin Robinson,250
Sharon Adams,250
Mark Parker,100
Mark Parker,250
Mark Parker,100
Mark Parker,500
Kevin White,500
Kevin White,300
Kevin White,300
Kevin White,250
Kevin White,150
Daniel Lee,150
Cynthia Scott,300
Cynthia Scott,250
Matthew Johnson,200
Matthew Johnson,100
Matthew Johnson,300
Matthew Johnson,120
Anthony Thompson,150
Anthony Thompson,150
Anthony Thompson,500
James Carter,80
James Carter,120
Edward King,500
Edward King,120
Edward King,300
Edward King,300
Joshua Johnson,150
Barbara Young,150
Barbara Young,200
Nancy Perez,200
Nancy Perez,250
Nancy Perez,500
Nancy Perez,200
Nancy Perez,200
Timothy Green,150
Timothy Green,150
Timothy Green,120
Joseph Morris,200
Joseph Morris,80
Jason Mitchell,120
Jason Mitchell,120
Jason Baker,500
Jason Baker,150
Jason Baker,80
Michelle Moore,120
Michelle Moore,200
Michelle Moore,100
Karen Smith,100
Karen Smith,150
Karen Smith,50
Karen Smith,50
Karen Smith,500
Sarah Stewart,300
Sarah Stewart,80
Sarah Smith,150
Sarah Smith,300
Sarah Smith,300
Sarah Smith,300
Sarah Smith,200
Susan Baker,80
Steven Adams,50
Charles Anderson,150
Charles Anderson,80
Charles Anderson,120
Charles Anderson,80
Charles Anderson,500
Jeffrey King,120
Jeffrey King,500
Jeffrey King,250
Jeffrey King,300
Jeffrey King,300
Karen Turner,150
Karen Turner,50
Karen Turner,80
Karen Turner,120
Ryan Jackson,80
Ryan Jackson,100
Ryan Jackson,120
Patricia Perez,100
James King,300
James King,150
James King,50
James King,120
Sarah Sanchez,300
Sarah Sanchez,80
Sarah Sanchez,120
Angela Thompson,120
Angela Thompson,250
Angela Thompson,80
Angela Thompson,500
Angela Thompson,120
Kevin Anderson,100
Kevin Anderson,80
Kevin Anderson,50
Mary Clark,150
Mary Clark,300
Mary Clark,80
Mary Clark,300
Mary Clark,150
Timothy Young,500
Timothy Young,500
Timothy Young,300
Joshua Garcia,50
Joshua Garcia,250
Joshua Garcia,200
Joshua Garcia,150
Joshua Garcia,50
David Martin,50
David Martin,150
David Martin,50
David Martin,100
David Martin,300
Margaret Evans,150
Margaret Evans,100
Margaret Evans,250
Margaret Evans,300
David Baker,250
David Baker,200
David Baker,200
Brian Miller,200
Brian Miller,250
Timothy Adams,250
Timothy Adams,500
Timothy Adams,50
Kenneth Garcia,150
Kenneth Garcia,200
Kenneth Garcia,80
Gary Young,50
Gary Young,500
Gary Young,300
Gary Young,250
Gary Young,50
Jennifer Carter,300
Jennifer Carter,300
Jennifer Carter,50
Linda White,100
Linda White,150
Linda White,300
Linda White,300
Linda White,80
John Parker,120
John Parker,100
John Parker,150
John Parker,500
John Parker,50
Ashley King,120
Michelle Davis,80
Michelle Davis,100
Michelle Davis,300
Michelle Davis,150
Betty Sanchez,250
Betty Sanchez,300
Betty Sanchez,300
Elizabeth Green,100
Elizabeth Green,250
Elizabeth Green,120
Elizabeth Green,500
Elizabeth Green,100
Sarah Jones,250
Sarah Jones,200
Sarah Jones,500
Jessica Smith,150
Jessica Smith,300
Jessica Smith,100
Joshua Mitchell,200
Joshua Mitchell,200
Joshua Mitchell,500
Joshua Mitchell,500
Donald Green,120
Donald Green,120
Donald Green,250
Barbara Cook,50
Barbara Cook,200
Barbara Cook,300
Barbara Cook,250
Donald Edwards,300
Donald Edwards,50
Kimberly Robinson,300
Richard Carter,50
Richard Carter,100
Richard Carter,250
Richard Carter,100
William Baker,200
William Baker,250
William Baker,80
Laura Robinson,250
Laura Robinson,200
Laura Robinson,300
Laura Robinson,500
Laura Robinson,50
Donna Jones,150
Donna Jones,120
Jason Garcia,80
Jason Garcia,80
Jason Garcia,300
Jason Garcia,100
Timothy Clark,50
Daniel Brown,200
Daniel Brown,200
Daniel Brown,250
Charles Lee,250
Charles Lee,100
Charles Lee,100
Charles Lee,100
Charles Lee,80
Donna Allen,120
Donna Allen,300
Donna Allen,100
Donna Allen,120
Donna Allen,300
Ryan Thompson,150
Ryan Thompson,50
Ryan Thompson,300
Ryan Thompson,150
George Mitchell,80
George Mitchell,300
Anthony Turner,250
Anthony Turner,150
Anthony Turner,300
Laura Clark,250
Laura Clark,300
Richard Lee,200
Richard Lee,150
Richard Lee,150
Richard Lee,50
Michelle Edwards,150
Michelle Edwards,50
Michelle Edwards,50
Michelle Edwards,300
Michelle Harris,200
Michelle Harris,120
Ryan Moore,150
Ryan Moore,100
Ryan Moore,80
Ryan Moore,50
Ryan Moore,150
Carol Scott,200
Edward Wilson,150
Daniel Rogers,100
Daniel Rogers,120
Daniel Rogers,100
Daniel Rogers,500
Cynthia Hall,500
Cynthia Hall,150
Cynthia Hall,100
Cynthia Hall,150
Cynthia Hall,300
Ruth Harris,80
Ruth Harris,300
Ruth Harris,80
Charles Reed,250
Charles Reed,500
Mark Garcia,50
Mark Garcia,150
Mark Garcia,500
Mark Garcia,80
Kenneth Hall,250
Kenneth Hall,200
Kenneth Hall,80
George Martin,50
George Martin,500
George Martin,200
George Martin,120
Kevin Jones,150
Kevin Jones,250
Kevin Jones,80
Kevin Jones,100
Robert Williams,300
Robert Williams,80
Robert Williams,80
Elizabeth Mitchell,250
Elizabeth Mitchell,300
Mark Edwards,250
Mark Edwards,100
Mark Edwards,250
Mark Edwards,80
Mark Edwards,300
Donna King,50
Donna King,200
Donna King,120
Joshua Scott,200
Joshua Scott,80
George Hall,200
George Hall,50
George Hall,250
George Hall,150
George Hall,120
Joseph Green,120
Kevin Parker,50
Kevin Parker,50
Kevin Parker,200
Kevin Parker,120
Kevin Parker,100
Carol Roberts,80
Carol Roberts,500
Linda Turner,120
Linda Turner,200
Gary Anderson,50
Gary Anderson,150
Gary Anderson,100
Gary Anderson,100
Gary Anderson,500
Susan Thomas,50
Thomas Smith,120
Thomas Smith,200
Thomas Smith,50
Patricia Thompson,100
Jason King,80
Jason King,80
Jason King,300
Jason King,300
Jason King,200
Betty Turner,300
Betty Martin,50
Betty Martin,500
Betty Martin,150
Betty Martin,300
Betty Martin,50
Michael Baker,250
Michael Baker,80
Michael Baker,300
Michael Baker,300
William Garcia,100
William Garcia,80
William Garcia,100
Jessica Campbell,500
Jessica Campbell,200
Jessica Campbell,250
Jessica Campbell,500
Jessica Campbell,150
Kenneth Nelson,250
Kenneth Nelson,80
Kenneth Nelson,80
Kenneth Nelson,500
Kenneth Nelson,120
Andrew Scott,250
Andrew Scott,200
Sharon Green,250
Sharon Green,80
Sharon Green,200
Sharon Green,250
Daniel Edwards,200
Daniel Edwards,100
Daniel Edwards,300
Michelle Garcia,250
Richard Rogers,100
Richard Rogers,500
Richard Rogers,50
Kimberly Perez,200
Kimberly Perez,80
Kimberly Perez,250
Kimberly Perez,200
Kimberly Perez,250
Sarah Morris,150
Emily Clark,80
Emily Clark,500
Emily Clark,120
Charles Edwards,120
Charles Edwards,80
Charles Edwards,200
Charles Edwards,500
Mark Davis,120
Mark Davis,250
Mark Davis,500
Gary Campbell,500
Gary Campbell,50
Gary Campbell,150
Gary Campbell,50
Gary Campbell,100
Jessica Stewart,200
Jessica Stewart,200
Jessica Stewart,50
Patricia Anderson,250
Patricia Anderson,80
Patricia Anderson,100
Patricia Anderson,50
Patricia Anderson,80
Jason Carter,250
Jason Carter,250
Kenneth Robinson,200
Kenneth Robinson,150
Edward Lewis,80
Edward Lewis,50
Edward Lewis,100
Edward Lewis,100
Edward Lewis,50
George Garcia,300
George Garcia,250
George Garcia,300
Emily Scott,150
Emily Scott,120
Emily Scott,500
Emily Scott,80
George Collins,300
George Collins,500
George Collins,150
George Collins,50
George Collins,120
Steven Phillips,50
Linda Clark,100
Linda Clark,150
Sarah Lewis,50
Lisa Rogers,100
Lisa Rogers,100
Lisa Rogers,250
Lisa Rogers,500
Ronald Martin,500
Ronald Martin,200
Ronald Martin,80
Ronald Martin,250
Ronald Martin,50
Andrew Johnson,80
Andrew Johnson,200
Andrew Johnson,250
Andrew Johnson,250
Ronald Parker,150
Ronald Parker,80
Ronald Parker,250
Ronald Parker,50
Daniel Taylor,300
Daniel Taylor,200
Daniel Taylor,80
Daniel Taylor,250
Daniel Taylor,80
Elizabeth Wright,250
Elizabeth Wright,500
Elizabeth Wright,80
Elizabeth Wright,250
Elizabeth Wright,150
Barbara Robinson,80
Barbara Robinson,500
Margaret Nelson,200
Margaret Nelson,200
Edward Evans,120
Edward Evans,80
Charles Thompson,100
Charles Thompson,100
Jeffrey Reed,100
Gary Parker,300
Gary Parker,300
Gary Parker,200
Gary Parker,200
Charles Scott,300
Joshua Parker,150
Joshua Parker,50
Joshua Parker,200
Betty Jones,300
Betty Jones,300
Betty Jones,50
Michael Hall,80
Michael Hall,80
Michael Hall,500
Carol Rogers,300
Amy Roberts,200
Amy Roberts,300
Betty Anderson,300
Richard Robinson,500
Kevin Thomas,120
Ronald Scott,500
Ronald Scott,500
Ronald Scott,100
Ronald Scott,200
Donald King,50
Donald King,200
Donald King,80
Matthew Miller,250
Matthew Miller,150
Matthew Miller,150
Matthew Miller,100
Matthew Miller,200
Brian Anderson,150
Brian Anderson,250
Brian Anderson,100
Emily Sanchez,150
Ashley Allen,100
Ashley Allen,500
Ashley Allen,80
Kevin Edwards,500
Kevin Edwards,200
Kevin Edwards,50
Kevin Edwards,200
Karen Thomas,200
Karen Thomas,300
Jennifer Martin,100
Jennifer Martin,80
Betty Cook,500
Betty Cook,50
Betty Cook,200
Betty Cook,100
Betty Cook,250
Charles Taylor,100
Charles Taylor,300
Robert King,120
Robert King,300
Robert King,150
Jeffrey Rogers,120
Jeffrey Rogers,500
Jeffrey Rogers,120
Jeffrey Rogers,150
Ruth Baker,200
Ruth Baker,300
Kenneth Cook,250
Kenneth Cook,500
Kenneth Cook,500
Paul Taylor,100
Paul Taylor,150
Michael Evans,200
Michael Evans,500
Michael Evans,80
Michael Evans,500
Laura Davis,80
Laura Davis,100
Laura Davis,150
Joshua Nelson,250
Joshua Nelson,80
Amy Martin,200
Amy Martin,50
Amy Martin,250
Amy Martin,50
Steven Nelson,120
Steven Nelson,250
Steven Nelson,80
Mark Martin,200
Angela Miller,100
Angela Miller,100
Angela Miller,50
Sarah Baker,300
Sarah Baker,300
Donna Smith,50
Susan Jackson,500
Susan Jackson,500
Andrew Davis,120
Andrew Davis,150
Andrew Davis,80
Michael Lee,300
Michael Lee,80
Michael Lee,80
Michael Lee,300
Emily Mitchell,500
Dorothy Lee,150
Dorothy Lee,250
James Campbell,120
James Campbell,250
James Campbell,100
Brian Edwards,500
Mark Jones,500
Mark Jones,500
Mark Jones,500
Mark Jones,500
Mark Jones,50
Donald Baker,250
Mark Thompson,200
Carol Jones,120
Carol Jones,80
Carol Jones,200
Thomas Williams,500
Thomas Williams,200
Thomas Williams,100
George Green,100
George Green,100
George Green,80
George Green,300
Robert Harris,50
Robert Harris,120
Cynthia Williams,150
Cynthia Williams,500
Cynthia Williams,250
Sharon Mitchell,150
Sharon Mitchell,50
Sharon Mitchell,120
Sharon Mitchell,150
Anthony Cook,200
Jessica Davis,250
Jessica Davis,250
Jessica Davis,300
Deborah Allen,100
Deborah Allen,300
Deborah Allen,300
Mark Carter,80
Mark Carter,250
Mark Carter,80
Andrew Phillips,500
Andrew Phillips,150
Daniel Miller,200
Brian Harris,300
Brian Harris,250
Brian Harris,100
Timothy Scott,300
Timothy Scott,50
Timothy Scott,200
Donna Wright,50
Donna Wright,80
Donna Wright,250
Mark Nelson,50
Mark Nelson,100
Laura Phillips,50
Laura Phillips,100
Laura Phillips,80
Laura Phillips,120
Gary Evans,200
Gary Evans,250
Gary Evans,50
Emily Anderson,200
Emily Anderson,200
Emily Anderson,300
Emily Anderson,80
Dorothy Wilson,200
Dorothy Wilson,250
Dorothy Wilson,200
Dorothy Wilson,150
Dorothy Wilson,120
Joseph Johnson,300
Joseph Johnson,500
Donald Perez,150
Gary Thompson,120
Gary Thompson,150
Gary Thompson,300
Gary Thompson,120
Joseph Wilson,300
Patricia Sanchez,80
Patricia Sanchez,200
Patricia Sanchez,200
Patricia Sanchez,80
Ashley Mitchell,150
Ashley Mitchell,100
Ashley Mitchell,100
Carol Hall,120
Carol Hall,80
Carol Hall,120
Carol Hall,100
Carol Hall,120
Carol Adams,200
Ashley Roberts,300
Ashley Roberts,500
Ashley Roberts,100
Donna Garcia,150
Steven Sanchez,500
Steven Sanchez,250
Steven Sanchez,250
Steven Sanchez,80
Thomas Lewis,300
Kenneth Collins,200
Kenneth Collins,100
Kenneth Collins,500
Kenneth Collins,100
Kenneth Collins,100
Andrew Nelson,80
Margaret Anderson,100
Margaret Anderson,100
Margaret Anderson,200
Angela Sanchez,200
Angela Sanchez,500
Deborah Harris,150
Jennifer Parker,150
Jennifer Parker,100
Jennifer Parker,150
Jennifer Parker,500
Jennifer Parker,80
Betty Evans,100
Betty Evans,100
Brian Campbell,200
Brian Campbell,50
Brian Campbell,50
Brian Campbell,80
Brian Campbell,50
Kevin Cook,150
Kevin Cook,120
Kevin Cook,250
Kevin Cook,50
Kevin Cook,300
Cynthia Parker,150
Cynthia Parker,150
Cynthia Parker,300
Cynthia Parker,120
Cynthia Parker,250
Karen Green,50
Mary Scott,300
Mary Scott,300
Mary Scott,120
Mary Scott,200
Daniel Sanchez,200
Daniel Sanchez,250
Daniel Sanchez,100
Jeffrey Hall,500
Jeffrey Hall,80
Jeffrey Hall,200
Jeffrey Hall,120
Jeffrey Hall,300
Joseph White,120
Joseph White,100
Joseph White,80
Joseph White,50
Sarah Allen,250
Sarah Allen,120
Sarah Allen,100
Sarah Allen,200
Sarah Allen,200
Jennifer Reed,300
Jennifer Reed,500
Kenneth Adams,300
Kenneth Adams,50
Kenneth Adams,80
Anthony Brown,150
Lisa Phillips,150
Lisa Phillips,500
Lisa Phillips,50
Lisa Phillips,80
Andrew Wilson,200
Andrew Wilson,250
Andrew Wilson,200
Robert Young,500
Jennifer Hall,150
Jennifer Hall,80
Jennifer Hall,250
Jennifer Hall,500
Jennifer Hall,300
Jeffrey Perez,80
Jeffrey Perez,100
Jeffrey Perez,80
Steven Hall,500
Steven Hall,200
Steven Hall,100
Jennifer Phillips,250
Jennifer Phillips,500
Jennifer Phillips,50
Jennifer Phillips,50
Jennifer Phillips,50
Thomas Sanchez,300
Thomas Sanchez,500
Thomas Sanchez,300
Charles Phillips,100
Charles Phillips,200
Charles Phillips,200
Charles Phillips,100
Charles Phillips,250
Donna Rogers,200
Donna Rogers,500
Donna Rogers,500
Sandra Adams,150
Sandra Adams,300
Sandra Adams,50
Sandra Adams,200
Sandra Adams,200
George Davis,150
George Davis,50
George Davis,300
George Davis,150
Kimberly Roberts,50
Kimberly Roberts,300
Mary Carter,250
Mary Carter,100
Mary Carter,120
Mary Carter,50
Mary Carter,80
Jennifer Johnson,200
Jennifer Johnson,250
Jennifer Johnson,100
Jennifer Johnson,250
Timothy Jackson,500
Timothy Jackson,300
Timothy Jackson,50
Timothy Jackson,100
Margaret Jackson,200
Margaret Jackson,300
Margaret Jackson,500
Margaret Jackson,250
Margaret Jackson,200
Patricia Green,200
Patricia Green,500
Patricia Green,200
Patricia Green,150
Patricia Green,300
Jennifer Lee,500
Jennifer Lee,150
Jennifer Lee,120
Karen Cook,120
Karen Cook,300
Karen Cook,200
Nancy Walker,150
Nancy Walker,150
Nancy Walker,80
Nancy Walker,500
Nancy Walker,250
Deborah Young,100
Deborah Young,150
Deborah Young,50
David Walker,150
David Walker,300
David Walker,120
David Walker,120
Jessica Perez,100
Jessica Perez,80
Jessica Perez,120
Elizabeth Brown,120
Elizabeth Brown,120
Elizabeth Brown,50
Elizabeth Brown,80
Elizabeth Brown,250
Matthew Sanchez,80
Matthew Sanchez,100
Matthew Sanchez,50
Matthew Sanchez,500
Angela Taylor,300
Angela Taylor,300
Angela Taylor,120
Angela Taylor,150
Daniel Harris,80
Kevin Roberts,500
Kevin Roberts,50
Amy Thomas,100
Amy Thomas,50
Amy Thomas,250
Amy Thomas,300
Patricia Rogers,50
Patricia Rogers,50
Patricia Rogers,150
Dorothy Phillips,200
Sarah Green,500
Sarah Green,300
Sarah Green,100
Sarah Green,500
Sarah Green,300
Jessica Moore,200
Mary Morris,150
Mary Morris,100
Mary Morris,50
Mary Morris,200
Carol Harris,120
Carol Harris,100
Carol Harris,250
Carol Harris,250
Carol Harris,500
Daniel Garcia,80
Daniel Garcia,100
Daniel Garcia,100
Daniel Garcia,300
James Thompson,120
James Thompson,300
James Thompson,150
James Thompson,200
Edward Roberts,150
Kevin Hall,50
Kevin Hall,80
Kenneth Clark,250
Kenneth Clark,500
Gary Clark,150
Mark Campbell,120
Mark Campbell,100
Nancy Anderson,200
Nancy Anderson,250
Nancy Anderson,500
Nancy Anderson,300
Jeffrey Mitchell,120
Jeffrey Mitchell,80
Margaret Scott,200
Margaret Scott,80
Margaret Scott,80
Margaret Scott,50
Margaret Scott,500
Deborah Nelson,500
Deborah Nelson,100
Mary Lewis,300
Mary Lewis,80
Mary Lewis,120
Mary Lewis,300
Mary Lewis,80
Joshua Brown,100
Joshua Brown,500
Joshua Brown,250
Joshua Brown,300
Dorothy Brown,300
Dorothy Brown,150
Dorothy Brown,50
Dorothy Brown,250
Dorothy Brown,150
Sharon Smith,80
Sharon Smith,50
Andrew Walker,500
Michael Jones,50
Michael Jones,150
Michael Jones,250
Michael Jones,100
Paul Hall,300
Paul Hall,250
Paul Hall,250
Paul Hall,80
George Edwards,100
George Edwards,200
George Edwards,80
George Edwards,100
George Edwards,500
Steven Carter,120
Steven Carter,50
George Morris,250
George Morris,500
George Morris,250
George Morris,120
George Morris,120
Kenneth Walker,150
Kenneth Walker,120
Angela Morris,50
Ruth Edwards,50
Ruth Edwards,120
Ruth Edwards,120
Ruth Edwards,80
Robert Scott,50
Robert Scott,120
Robert Scott,50
Robert Scott,250
Robert Scott,300
Barbara Mitchell,50
Barbara Mitchell,100
Betty Harris,200
Betty Harris,200
Elizabeth Clark,500
Elizabeth Clark,120
Paul Clark,50
Paul Clark,500
Paul Clark,100
Ryan Collins,500
Ryan Collins,300
Ryan Collins,50
Ryan Collins,200
Donald Carter,250
Donald Carter,250
Donald Carter,100
Karen Allen,500
Karen Allen,300
Karen Sanchez,300
Karen Sanchez,50
Paul Perez,100
Paul Perez,250
Paul Perez,120
Paul Perez,150
Paul Perez,120
Matthew Evans,300
Laura Hall,500
Edward Moore,150
Donald Collins,50
Donald Collins,80
Donald Collins,120
Donald Collins,500
Donald Collins,120
Nancy Jackson,150
Nancy Jackson,50
Nancy Jackson,120
Angela Moore,300
Amy Lee,120
Amy Lee,250
Amy Lee,120
Amy Lee,500
Amy Lee,200
Sandra Evans,150
Sandra Evans,150
Sandra Evans,200
Betty Adams,80
Betty Adams,300
Betty Adams,200
Betty Adams,120
Mark Lewis,50
Mark Lewis,120
Mark Lewis,100
Mark Lewis,50
Susan Perez,250
Susan Perez,150
Susan Perez,100
Susan Perez,120
Susan Perez,200
Barbara Allen,120
Barbara Allen,300
Barbara Allen,500
Barbara Allen,200
Barbara Allen,150
Jeffrey Adams,300
Jeffrey Adams,100
Jeffrey Adams,200
Jeffrey Adams,100
Thomas Morris,300
Thomas Morris,100
Thomas Morris,500
Thomas Morris,50
Thomas Morris,500
Robert Jones,50
Paul Wilson,80
Paul Wilson,100
James Jackson,300
James Jackson,200
James Jackson,50
James Jackson,300
James Jackson,300
John Smith,500
John Smith,250
John Smith,50
John Smith,50
John Smith,500
Edward White,150
Edward White,50
Edward White,500
Edward White,250
Edward White,100
Richard Miller,100
Richard Miller,120
Richard Miller,120
Richard Miller,500
Richard Miller,150
Sharon Walker,250
Sharon Walker,80
Sharon Walker,200
Steven Green,120
Steven Green,120
Steven Green,150
Steven Green,80
Steven Green,50
David Young,250
David Young,500
David Young,300
David Young,50
Ryan Smith,80
Ryan Smith,300
Laura Wright,80
Laura Wright,500
Laura Wright,50
Barbara Jackson,300
Barbara Jackson,150
Barbara Jackson,50
Barbara Jackson,80
Barbara Jackson,150
Deborah Mitchell,50
Deborah Mitchell,100
Deborah Mitchell,200
Deborah Mitchell,50
Deborah Mitchell,120
Kimberly Anderson,80
Kimberly Anderson,150
Kimberly Anderson,100
Kimberly Anderson,120
Dorothy Allen,200
Dorothy Allen,250
Dorothy Allen,100
Dorothy Allen,80
Dorothy Allen,500
Jason Walker,80
Andrew Martin,200
Emily Cook,250
Emily Cook,200
Emily Cook,50
Emily Cook,150
Emily Cook,300
Anthony Perez,250
Anthony Perez,100
Anthony Perez,250
Anthony Perez,80
Sarah Lee,80
Donald Sanchez,250
Donald Sanchez,200
Mark Miller,50
Karen Scott,150
Karen Scott,80
Karen Scott,100
Ashley Perez,250
Ashley Perez,80
Ashley Perez,50
Ashley Perez,80
